Pick,Team,Player,position,College
135,SFO,Jacob Cowing,WR,Arizona
Pick,Tm,Player,Pos,College/Univ
136,SEA,Nehemiah Pritchett,CB,Auburn
137,LAC,Tarheeb Still,DB,Maryland
138,ARI,Xavier Thomas,DE,Clemson
139,WAS,Jordan Magee,LB,Temple
140,LAC,Cam Hart,CB,Notre Dame
141,BUF,Sedrick Van Pran,OL,Georgia
142,IND,Anthony Gould,WR,Oregon St.
143,ATL,JD Bertrand,LB,Notre Dame
144,CHI,Austin Booker,DL,Kansas
145,DEN,Kris Abrams-Draine,DB,Missouri
146,TEN,Jarvis Brownlee,DB,Louisville
147,DEN,Audric Estime,RB,Notre Dame
148,LVR,Tommy Eichenberg,LB,Ohio St.
149,CIN,Josh Newton,CB,TCU
150,NOR,Spencer Rattler,QB,South Carolina
151,IND,Jaylon Carlies,DB,Missouri
152,PHI,Ainias Smith,WR,Texas A&M
153,JAX,Deantre Prince,CB,Mississippi
154,LAR,Brennan Jackson,DE,Washington St.
155,PHI,Jeremiah Trotter,LB,Clemson
156,CLE,Jamari Thrash,WR,Louisville
157,CAR,Chau Smith-Wade,DB,Washington St.
158,MIA,Mohamed Kamara,DL,Colorado St.
159,KAN,Hunter Nourzad,OL,Penn St.
160,BUF,Edefuan Ulofoshio,LB,Washington
161,WAS,Dominique Hampton,CB,Washington
162,ARI,Christian Jones,OL,Texas
163,GNB,Jacob Monk,OL,Duke
164,IND,Jaylin Simpson,SAF,Auburn
165,BAL,Rasheen Ali,RB,Marshall
166,NYG,Tyrone Tracy,RB,Purdue
167,JAX,Keilan Robinson,RB,Texas
168,BUF,Javon Solomon,DE,Troy
169,GNB,Kitan Oladapo,DB,Oregon St.
170,NOR,Bub Means,WR,Pittsburgh
171,NYJ,Jordan Travis,QB,Florida St.
172,PHI,Trevor Keegan,OL,Michigan
173,NYJ,Isaiah Davis,RB,South Dakota St.
174,DAL,Caelen Carson,DB,Wake Forest
175,NOR,Jaylan Ford,LB,Texas
176,NYJ,Qwan'tez Stiggers,CB,
Pick,Tm,Player,Pos,College/Univ
177,MIN,Walter Rouse,OL,Oklahoma
178,PIT,Logan Lee,DL,Iowa
