player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2022,1,REG,DAL,18,27,212,1,1,2,17,0,0,305,87,9,1.05085355477425,0,0.695081967213115,0.0756322575381053,2,-1,0,0,0,0,-1.43716751458123,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,10.38,10.38
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2022,2,REG,NO,18,34,190,1,0,1,2,0,0,314,85,8,2.42870697546058,0,0.605095541401274,-0.0220874521364173,3,-2,0,1,1,0,-7.11540677567245,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,9.4,9.4
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2022,3,REG,GB,31,42,271,1,0,3,20,0,0,236,124,15,1.07674930043365,0,1.14830508474576,0.0859627433357744,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,14.74,14.74
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2022,4,REG,KC,39,52,385,3,0,1,12,1,1,326,205,23,9.51133412883449,0,1.18098159509202,0.153674487611538,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,25.4,25.4
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2022,5,REG,ATL,35,52,351,1,0,0,0,0,0,362,178,17,12.9895898019221,1,0.969613259668508,0.156921590436891,3,-3,0,0,0,0,-3.33603642415255,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,19.74,19.74
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2022,6,REG,PIT,25,40,243,1,0,2,14,1,0,302,87,11,8.71979103205027,0,0.804635761589404,0.117122652170341,1,0,0,0,0,0,-1.1183694647043,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,13.72,13.72
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2022,7,REG,CAR,32,49,290,0,0,1,14,0,0,359,134,14,-2.37553232737824,0,0.807799442896936,0.0171669614923224,1,1,0,0,0,0,-0.569582178955898,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,11.7,11.7
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2022,8,REG,BAL,26,44,325,1,0,3,20,0,0,288,177,13,4.88281207040607,0,1.12847222222222,0.0762621410717683,1,1,0,0,0,0,-1.01517670265241,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,17.1,17.1
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2022,9,REG,LA,36,58,280,1,0,1,8,0,0,271,127,15,-4.88304228540223,0,1.03321033210332,0.000939015836744099,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,15.2,15.2
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2022,10,REG,SEA,22,29,258,2,1,0,0,0,0,248,92,15,15.3084523226176,0,1.04032258064516,0.282559200374451,6,-3,0,0,0,0,-2.94423849217128,0,0,1,0,0,0,0,16,0,0,-4.7260164351901,0,0,0.0344827586206897,0.0613026819923372,0.0946360153256705,0,16.02,16.02
