Player,Bye,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
John Mundt,13,35,0,0,0,0,0,0,0,0,0,0,17,172,1,0,0,0
Elijah Higgins,14,34,0,0,0,0,0,0,0,0,0,0,14,163,1,0,0,0
Kyle Juszczyk,9,34,0,0,0,0,0,0,5,6,0,0,14,119,2,0,0,0
Christopher Rodriguez,14,34,0,0,0,0,0,0,51,247,2,0,2,12,0,0,1,0
Olamide Zaccheaus,10,34,0,0,0,0,0,0,0,0,0,0,10,164,2,0,0,0
Dyami Brown,14,33,1,1,4,0,0,0,1,0,0,0,12,168,1,0,0,0
Dalvin Cook,13,33,0,0,0,0,0,0,67,214,0,0,15,78,0,0,2,0
Chase Edmonds,5,33,0,0,0,0,0,0,49,176,0,0,14,81,0,0,0,0
Khadarel Hodge,11,33,0,0,0,0,0,0,1,0,0,0,14,232,0,0,0,0
Julio Jones,10,33,0,0,0,0,0,0,0,0,0,0,11,74,3,0,0,0
Drew Lock,5,33,76,48,543,3,3,0,5,14,0,0,0,0,0,0,0,0
Will Mallory,11,33,0,0,0,0,0,0,0,0,0,0,18,207,0,0,0,0
Andrew Ogletree,11,33,0,0,0,0,0,0,0,0,0,0,9,147,2,0,0,0
Quez Watkins,10,33,0,0,0,0,0,0,0,0,0,0,15,142,1,0,0,0
Ameer Abdullah,13,32,0,0,0,0,0,0,15,89,0,0,19,131,0,0,0,0
Deonte Harty,13,32,0,0,0,0,0,0,4,0,0,0,15,150,1,0,1,0
Jimmy Graham,11,31,0,0,0,0,0,0,0,0,0,0,6,39,4,0,0,0
Tyler Scott,13,31,0,0,0,0,0,0,7,41,0,0,17,168,0,0,1,0
Deven Thompkins,5,31,0,0,0,0,0,0,8,56,0,0,17,83,1,0,1,0
John Bates,14,30,0,0,0,0,0,0,0,0,0,0,19,151,0,0,0,0
Andrew Beck,7,30,0,0,0,0,0,0,5,3,1,0,11,55,2,0,1,0
Tony Jones,14,30,0,0,0,0,0,0,26,95,2,0,7,37,0,0,0,0
Terrace Marshall,7,30,0,0,0,0,0,0,0,0,0,0,19,139,0,0,0,0
Cordarrelle Patterson,11,30,0,0,0,0,0,0,50,181,0,0,9,38,1,0,0,0
Kyle Philips,7,30,0,0,0,0,0,0,0,0,0,0,15,181,0,0,1,0
Stone Smartt,5,30,0,0,0,0,0,0,0,0,0,0,11,155,1,0,0,0
Irv Smith,7,30,0,0,0,0,0,0,0,0,0,0,18,115,1,0,1,0
Ronnie Bell,9,29,0,0,0,0,0,0,0,0,0,0,6,68,3,0,0,0
Malik Heath,6,29,0,0,0,0,0,0,0,0,0,0,15,125,1,0,0,0
Trevor Siemian,7,29,153,86,724,2,4,0,11,40,0,0,0,0,0,0,3,0
Carson Wentz,10,29,24,17,163,2,1,1,17,56,1,0,0,0,0,0,0,0
Parris Campbell,13,28,0,0,0,0,0,0,0,0,0,0,20,104,0,0,0,0
Tyler Huntley,13,28,37,21,203,3,0,0,15,55,0,0,0,0,0,0,0,0
Jarrett Stidham,9,28,66,40,496,2,1,0,9,8,0,0,0,0,0,0,0,0
Jacoby Brissett,14,27,23,18,224,3,0,0,3,19,0,0,0,0,0,0,0,0
Andy Dalton,7,27,58,34,361,2,0,0,3,12,0,0,0,0,0,0,0,0
Ty Johnson,13,27,0,0,0,0,0,0,30,132,0,0,7,62,1,0,0,0
Craig Reynolds,9,27,0,0,0,0,0,0,41,179,1,0,5,47,0,0,2,0
Sam Darnold,9,26,46,28,297,2,1,0,21,15,1,0,0,0,0,0,1,0
D'Ernest Johnson,9,26,0,0,0,0,0,0,41,108,0,0,10,140,0,0,0,0
Ray Ray McCloud,9,26,0,0,0,0,0,0,3,30,0,0,12,135,0,0,0,0
John Metchie,7,26,0,0,0,0,0,0,1,4,0,0,16,158,0,0,0,0
Jeremy Ruckert,7,26,0,0,0,0,0,0,0,0,0,0,16,151,0,0,0,0
Patrick Taylor,6,26,0,0,0,0,0,0,32,141,0,0,11,49,0,0,0,0
River Cracraft,10,25,0,0,0,0,0,0,0,0,0,0,9,121,1,0,0,0
Derius Davis,5,25,0,0,0,0,0,0,14,101,0,0,15,66,0,0,1,0
Darrynton Evans,13,25,0,0,0,0,0,0,32,121,1,0,7,49,0,0,0,0
Byron Pringle,14,25,0,0,0,0,0,0,0,0,0,0,14,161,0,0,1,0
Luke Schoonmaker,7,25,0,0,0,0,0,0,0,0,0,0,8,65,2,0,0,0
Davis Allen,10,24,0,0,0,0,0,0,0,0,0,0,10,95,1,0,0,0
Luke Farrell,9,24,0,0,0,0,0,0,0,0,0,0,13,155,0,0,0,0
Mecole Hardman,10,24,0,0,0,0,0,0,1,3,0,0,15,124,0,0,1,0
Donovan Peoples-Jones,9,24,0,0,0,0,0,0,0,0,0,0,13,155,0,0,0,0
Ihmir Smith-Marsette,7,24,0,0,0,0,0,0,8,74,1,0,8,51,0,0,0,0
MyCole Pruitt,11,23,0,0,0,0,0,0,0,0,0,0,9,110,1,0,0,0
Brock Wright,9,23,0,0,0,0,0,0,0,0,0,0,13,91,1,0,0,0
Jordan Akins,5,22,0,0,0,0,0,0,0,0,0,0,15,132,0,0,0,0
Nick Chubb,5,22,0,0,0,0,0,0,28,170,0,0,4,21,0,0,0,0
Jalen Guyton,5,22,0,0,0,0,0,0,0,0,0,0,10,89,1,0,0,0
Alec Ingold,10,22,0,0,0,0,0,0,2,0,0,0,13,119,0,0,0,0
Stephen Sullivan,7,22,0,0,0,0,0,0,0,0,0,0,12,125,0,0,0,0
Lynn Bowden,11,21,0,0,0,0,0,0,5,32,0,0,11,83,0,0,0,0
Lucas Krull,9,21,0,0,0,0,0,0,0,0,0,0,8,95,1,0,0,0
Trent Sherfield,13,21,0,0,0,0,0,0,0,0,0,0,11,86,1,0,0,0
Ben Skowronek,10,21,0,0,0,0,0,0,2,9,0,0,8,66,1,0,0,0
Dorian Thompson-Robinson,5,21,112,60,440,1,4,0,14,65,0,1,0,0,0,0,0,0
Tyquan Thornton,11,21,0,0,0,0,0,0,3,51,0,0,13,91,0,0,0,0
Phillip Walker,5,21,111,54,674,1,5,0,13,30,0,0,0,0,0,0,2,0
Josh Whyle,7,21,0,0,0,0,0,0,0,0,0,0,9,94,1,0,0,0
C.J. Beathard,9,20,53,40,349,1,0,0,8,35,0,0,0,0,0,0,0,0
Cartavious Bigsby,9,20,0,0,0,0,0,0,50,132,2,0,1,6,0,0,2,0
Robbie Chosen,10,20,0,0,0,0,0,0,0,0,0,0,4,126,1,0,0,0
Jalen Reagor,11,20,0,0,0,0,0,0,1,17,0,0,7,138,0,0,0,0
Robert Tonyan,13,20,0,0,0,0,0,0,0,0,0,0,11,112,0,0,0,0
Chase Claypool,10,19,0,0,0,0,0,0,0,0,0,0,8,77,1,0,0,0
Melvin Gordon,13,19,0,0,0,0,0,0,26,81,1,0,3,46,0,0,1,0
Kevin Harris,11,19,0,0,0,0,0,0,16,65,1,0,3,58,0,0,0,0
Charlie Kolar,13,19,0,0,0,0,0,0,0,0,0,0,7,87,1,0,0,0
Davis Mills,7,19,39,18,173,2,0,1,2,9,0,0,0,0,0,0,0,0
Cole Turner,14,19,0,0,0,0,0,0,0,0,0,0,11,120,0,0,0,0
David Moore,5,18,0,0,0,0,0,0,0,0,0,0,5,94,1,0,0,0
Jeff Driskel,5,17,26,13,166,2,2,0,7,33,0,0,0,0,0,0,0,0
Richie James,10,17,0,0,0,0,0,0,0,0,0,0,10,114,0,0,1,0
Tim Jones,9,17,0,0,0,0,0,0,0,0,0,0,11,83,0,0,0,0
Ronnie Rivers,10,17,0,0,0,0,0,0,32,129,0,0,5,22,0,0,0,0
Sterling Shepard,13,17,0,0,0,0,0,0,1,6,0,0,10,57,1,0,1,0
Geoff Swaim,14,17,0,0,0,0,0,0,0,0,0,0,10,94,0,0,0,0
C.J. Uzomah,7,17,0,0,0,0,0,0,0,0,0,0,8,58,1,0,0,0
Tyler Goodson,11,16,0,0,0,0,0,0,13,87,0,0,6,34,0,0,0,0
Damien Harris,13,16,0,0,0,0,0,0,23,94,1,0,2,16,0,0,0,0
Xavier Hutchinson,7,16,0,0,0,0,0,0,5,49,0,0,8,90,0,0,0,0
Trey Sermon,11,16,0,0,0,0,0,0,35,160,0,0,3,13,0,0,0,0
Jason Brownlee,7,15,0,0,0,0,0,0,0,0,0,0,5,56,1,0,0,0
Randall Cobb,7,15,0,0,0,0,0,0,0,0,0,0,5,39,1,1,0,0
Isaiah McKenzie,11,15,0,0,0,0,0,0,3,14,0,0,11,82,0,0,2,0
Patrick Ricard,13,15,0,0,0,0,0,0,0,0,0,0,5,52,1,0,0,0
Laviska Shenault,7,15,0,0,0,0,0,0,12,55,0,0,10,60,0,0,0,0
Isaiah Spiller,5,15,0,0,0,0,0,0,37,96,0,0,6,34,0,0,0,0
Samori Toure,6,15,0,0,0,0,0,0,0,0,0,0,8,78,0,1,1,0
Jameis Winston,11,15,47,25,264,2,3,0,5,-6,0,0,0,0,0,0,0,0
Israel Abanikanda,7,14,0,0,0,0,0,0,22,70,0,0,7,43,0,0,1,0
Charlie Jones,7,13,0,0,0,0,0,0,2,13,0,0,7,64,0,0,0,0
Keith Kirkwood,11,13,0,0,0,0,0,0,0,0,0,0,5,37,1,0,0,0
D.J. Montgomery,11,13,0,0,0,0,0,0,0,0,0,0,3,56,1,0,0,0
Lamical Perine,10,13,0,0,0,0,0,0,22,77,0,0,3,33,0,0,0,0
Brenton Strange,9,13,0,0,0,0,0,0,0,0,0,0,5,35,1,0,0,0
Mitchell Wilcox,7,13,0,0,0,0,0,0,0,0,0,0,9,56,0,0,0,0
Lawrence Cager,13,12,0,0,0,0,0,0,0,0,0,0,4,36,1,0,0,0
Josiah Deguara,6,12,0,0,0,0,0,0,0,0,0,0,8,65,0,0,0,0
Marquise Goodwin,5,12,0,0,0,0,0,0,4,33,0,0,4,67,0,0,0,0
Marcus Mariota,10,12,23,15,164,1,1,0,8,52,0,0,0,0,0,0,1,0
Blake Bell,10,11,0,0,0,0,0,0,0,0,0,0,5,26,1,0,1,0
Raheem Blackshear,7,11,0,0,0,0,0,0,14,46,0,1,6,45,0,0,0,0
Tim Boyle,7,11,77,48,360,1,4,0,4,5,0,0,0,0,0,0,0,0
Jalen Brooks,7,11,0,0,0,0,0,0,0,0,0,0,6,64,0,0,0,0
J.K. Dobbins,13,11,0,0,0,0,0,0,8,22,1,0,2,15,0,0,0,0
Brycen Hopkins,10,11,0,0,0,0,0,0,0,0,0,0,5,78,0,0,0,0
Case Keenum,7,11,53,34,291,1,3,0,2,1,0,0,0,0,0,0,0,0
Marcedes Lewis,13,11,0,0,0,0,0,0,0,0,0,0,4,29,1,0,0,0
Boston Scott,10,11,0,0,0,0,0,0,20,86,0,0,4,52,0,0,1,0
Ben Sims,6,11,0,0,0,0,0,0,0,0,0,0,4,21,1,0,0,0
Deuce Vaughn,7,11,0,0,0,0,0,0,23,40,0,0,7,40,0,0,0,0
Trayveon Williams,7,11,0,0,0,0,0,0,15,69,0,0,7,10,0,0,0,0
Brandon Bolden,13,10,0,0,0,0,0,0,4,31,1,1,0,0,0,0,0,0
Mike Boone,7,10,0,0,0,0,0,0,5,23,0,0,7,40,0,0,0,0
Keaontay Ingram,10,10,0,0,0,0,0,0,35,74,0,0,4,26,0,0,0,0
Hunter Luepke,7,10,0,0,0,0,0,0,6,19,1,0,3,18,0,0,0,0
Quintin Morris,13,10,0,0,0,0,0,0,0,0,0,0,2,26,1,0,0,0
Darnell Washington,6,10,0,0,0,0,0,0,0,0,0,0,7,61,0,0,0,0
Emanuel Wilson,6,10,0,0,0,0,0,0,14,85,0,0,4,23,0,0,0,0
Nick Bawden,7,9,0,0,0,0,0,0,2,4,1,0,3,21,0,0,0,0
Gary Brightwell,13,9,0,0,0,0,0,0,9,19,0,0,5,47,0,0,0,0
Christopher Brooks,10,9,0,0,0,0,0,0,19,106,0,0,0,0,0,0,0,0
Chris Conley,9,9,0,0,0,0,0,0,0,0,0,0,3,69,0,0,0,0
Payne Durham,5,9,0,0,0,0,0,0,0,0,0,0,5,58,0,0,0,0
Eric Gray,13,9,0,0,0,0,0,0,17,48,0,0,6,22,0,0,0,0
Velus Jones,13,9,0,0,0,0,0,0,8,51,0,0,4,20,0,0,0,0
Justyn Ross,10,9,0,0,0,0,0,0,0,0,0,0,6,53,0,0,0,0
Equanimeous St. Brown,13,9,0,0,0,0,0,0,0,0,0,0,5,62,0,0,0,0
Keelan Doss,5,8,0,0,0,0,0,0,0,0,0,0,6,33,0,0,0,0
Julian Hill,10,8,0,0,0,0,0,0,0,0,0,0,6,48,0,0,1,0
Rakim Jarrett,5,8,0,0,0,0,0,0,1,0,0,0,4,60,0,0,0,0
Tyler Johnson,10,8,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0,0
Grant Calcaterra,10,7,0,0,0,0,0,0,0,0,0,0,4,39,0,0,0,0
DeAndre Carter,13,7,0,0,0,0,0,0,3,18,0,0,4,39,0,0,0,0
Britain Covey,10,7,0,0,0,0,0,0,0,0,0,0,4,42,0,0,0,0
DeeJay Dallas,5,7,0,0,0,0,0,0,10,36,0,0,6,26,0,0,2,0
Simi Fehoko,5,7,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0
C.J. Ham,13,7,0,0,0,0,0,0,1,7,0,0,7,25,0,0,0,0
Ko Kieft,5,7,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
Dare Ogunbowale,7,7,0,0,0,0,0,0,8,35,0,0,2,18,0,0,0,0
Jack Stoll,10,7,0,0,0,0,0,0,0,0,0,0,5,38,0,0,0,0
Ian Thomas,7,7,0,0,0,0,0,0,0,0,0,0,5,56,0,0,0,0
Clayton Tune,14,7,21,12,62,0,2,0,8,30,1,1,0,0,0,0,1,0
Elijah Cooks,9,6,0,0,0,0,0,0,0,0,0,0,3,38,0,0,0,0
Devin Duvernay,13,6,0,0,0,0,0,0,4,15,0,0,4,18,0,0,0,0
Peyton Hendershot,7,6,0,0,0,0,0,0,1,0,0,0,4,38,0,0,0,0
Marvin Jones,9,6,0,0,0,0,0,0,0,0,0,0,5,35,0,0,1,0
Ty Montgomery,11,6,0,0,0,0,0,0,3,9,0,0,5,40,0,0,0,0
Nate Adkins,9,5,0,0,0,0,0,0,0,0,0,0,4,22,0,0,0,0
Khari Blasingame,13,5,0,0,0,0,0,0,8,26,0,0,3,2,0,0,0,0
Michael Burton,9,5,0,0,0,0,0,0,7,9,0,1,3,8,0,0,0,0
Greg Dulcich,9,5,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0,0
Blaine Gabbert,10,5,35,18,185,0,3,0,7,45,0,0,0,0,0,0,0,0
Brian Hoyer,13,5,42,23,231,0,2,0,3,-3,0,0,0,0,0,0,0,0
Deon Jackson,13,5,0,0,0,0,0,0,14,16,0,0,5,14,0,0,2,0
Jalen Nailor,13,5,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0
Zach Pascal,14,5,0,0,0,0,0,0,0,0,0,0,4,19,0,0,0,0
Teagan Quitoriano,7,5,0,0,0,0,0,0,0,0,0,0,2,33,0,0,0,0
Steven Sims,7,5,0,0,0,0,0,0,1,1,0,0,3,25,0,0,0,0
Keith Smith,11,5,0,0,0,0,0,0,0,0,0,0,3,33,0,0,0,0
Mike Strachan,7,5,0,0,0,0,0,0,0,0,0,0,1,45,0,0,0,0
Austin Trammell,10,5,0,0,0,0,0,0,0,0,0,0,4,29,0,0,1,0
Mike White,10,5,6,5,74,1,1,0,8,-9,0,0,0,0,0,0,1,0
Damien Williams,14,5,0,0,0,0,0,0,11,43,0,0,2,12,0,0,0,0
Charlie Woerner,9,5,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0
Alex Armah,14,4,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0
Jashaun Corbin,13,4,0,0,0,0,0,0,1,1,0,0,3,12,0,0,0,0
Kenyan Drake,6,4,0,0,0,0,0,0,2,0,0,0,2,31,0,0,1,0
Leonard Fournette,13,4,0,0,0,0,0,0,12,40,0,0,0,0,0,0,0,0
Trishton Jackson,13,4,0,0,0,0,0,0,0,0,0,0,2,9,0,1,0,0
James Mitchell,9,4,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0
Brett Rypien,7,4,38,18,172,0,1,0,3,19,0,0,0,0,0,0,1,0
Kenny Yeboah,7,4,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0
Kayshon Boutte,11,3,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0
Miles Boykin,6,3,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0
Elijah Dotson,5,3,0,0,0,0,0,0,4,6,0,0,2,13,0,0,0,0
Jake Funk,9,3,0,0,0,0,0,0,2,10,0,0,1,12,0,0,0,0
Chris Manhertz,9,3,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0
Anthony McFarland,6,3,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
Nick Muse,13,3,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0
Eric Saubert,7,3,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0
Sean Tucker,5,3,0,0,0,0,0,0,15,23,0,0,2,9,0,0,0,0
Ke'Shawn Vaughn,11,3,0,0,0,0,0,0,24,42,0,0,2,2,0,0,0,0
Trevon Wesco,7,3,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0
Tyrion Davis-Price,9,2,0,0,0,0,0,0,6,21,0,0,0,0,0,0,0,0
Ross Dwelley,9,2,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
Chris Evans,7,2,0,0,0,0,0,0,2,12,0,0,1,-1,0,0,0,0
John FitzPatrick,11,2,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
Derrick Gore,14,2,0,0,0,0,0,0,3,26,0,0,0,0,0,0,0,0
Jaren Hall,13,2,20,13,168,0,1,0,6,14,0,0,0,0,0,0,2,0
Collin Johnson,13,2,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
Jakob Johnson,13,2,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
Zonovan Knight,9,2,0,0,0,0,0,0,3,13,0,0,1,8,0,0,0,0
Rashaad Penny,10,2,0,0,0,0,0,0,11,33,0,0,1,5,0,0,0,0
Willie Snead,9,2,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
Malik Taylor,7,2,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0
Cody Thompson,5,2,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
Laquon Treadwell,13,2,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0
Tylan Wallace,13,2,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
David Wells,5,2,0,0,0,0,0,0,0,0,0,0,2,-10,0,0,0,0
Malik Willis,7,2,5,4,74,0,0,0,5,21,0,0,0,0,0,0,1,0
Sean Clifford,6,1,1,1,37,0,0,0,3,-2,0,0,0,0,0,0,0,0
Colton Dowell,7,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
D'Wayne Eskridge,5,1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0
Zach Evans,10,1,0,0,0,0,0,0,9,19,0,0,0,0,0,0,0,0
Erik Ezukanma,10,1,0,0,0,0,0,0,5,22,0,0,0,0,0,0,0,0
Tucker Fisk,11,1,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Cole Fotheringham,13,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Reggie Gilliam,13,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
Antoine Green,9,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Jesper Horsted,13,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
Evan Hull,11,1,0,0,0,0,0,0,1,1,0,0,1,6,0,0,0,0
Mason Kinsey,7,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Kwamie Lassiter,7,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Devine Ozigbo,9,1,0,0,0,0,0,0,3,5,0,0,1,8,0,0,0,0
Adam Prentice,11,1,0,0,0,0,0,0,2,12,0,0,2,12,0,0,1,0
Kevin Rader,7,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Giovanni Ricci,7,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
James Robinson,11,1,0,0,0,0,0,0,1,2,0,0,1,-2,0,0,0,0
Cooper Rush,7,1,24,18,144,0,1,0,12,-5,0,0,0,0,0,0,0,0
Nick Vannett,5,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
Jonathan Ward,7,1,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0
Kyle Allen,13,0,0,0,0,0,0,0,13,-13,0,0,0,0,0,0,0,0
Matt Barkley,9,0,0,0,0,0,0,0,3,-3,0,0,0,0,0,0,0,0
Teddy Bridgewater,9,0,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,0,0
Jason Cabinda,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A.J. McCarron,7,0,5,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Kene Nwangwu,13,0,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0
Nathan Peterman,13,0,0,0,0,0,0,0,2,-4,0,0,0,0,0,0,0,0
Aaron Rodgers,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Trask,5,0,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0
Jonathan Williams,14,0,0,0,0,0,0,0,1,-2,0,0,0,0,0,0,0,0
Gunner Olszewski,13,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
James Proche,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Trent Taylor,13,-1,0,0,0,0,0,0,1,-2,0,0,0,0,0,0,1,0
Logan Woodside,11,-1,4,3,27,0,1,0,1,6,0,0,0,0,0,0,0,0
