Player,Bye,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Isiah Pacheco,10,206,0,0,0,0,0,0,205,935,7,0,44,244,2,0,1,0
Terry McLaurin,14,205,0,0,0,0,0,0,0,0,0,0,79,"1,002",4,0,0,1
Chris Godwin,5,200,1,0,0,0,0,0,4,38,1,0,83,"1,024",2,1,0,0
George Pickens,6,200,0,0,0,0,0,0,3,18,0,0,63,"1,140",5,0,0,0
Justin Jefferson,13,199,1,0,0,0,0,0,1,-12,0,0,68,"1,074",5,0,1,0
David Montgomery,9,199,0,0,0,0,0,0,219,"1,015",13,1,16,117,0,0,1,0
Jerome Ford,5,198,0,0,0,0,0,0,204,813,4,1,44,319,5,0,1,0
Zay Flowers,13,197,0,0,0,0,0,0,8,56,1,0,77,858,5,1,0,0
Tyler Lockett,5,197,0,0,0,0,0,0,0,0,0,0,79,894,5,2,0,0
Desmond Ridder,11,197,388,249,"2,836",12,12,2,53,193,5,0,1,-6,0,0,7,0
David Njoku,5,195,0,0,0,0,0,0,0,0,0,0,81,882,6,0,2,0
George Kittle,9,193,0,0,0,0,0,0,1,2,0,0,65,"1,020",6,0,0,0
Jaylen Waddle,10,193,0,0,0,0,0,0,3,12,0,0,72,"1,014",4,0,0,0
James Conner,14,191,0,0,0,0,0,0,208,"1,040",7,0,27,165,2,0,0,0
Brian Robinson,14,189,0,0,0,0,0,0,178,733,5,1,36,368,4,0,2,0
D'Andre Swift,10,189,0,0,0,0,0,0,229,"1,049",5,0,39,214,1,0,1,0
Courtland Sutton,9,187,0,0,0,0,0,0,0,0,0,0,59,772,10,0,3,0
Kenneth Walker,5,187,0,0,0,0,0,0,219,905,8,0,29,259,1,0,0,0
Najee Harris,6,185,0,0,0,0,0,0,255,"1,035",8,0,29,170,0,0,1,0
De'Von Achane,10,184,0,0,0,0,0,0,103,800,8,0,27,197,3,0,1,0
Kirk Cousins,13,184,311,216,"2,331",18,5,0,14,25,0,0,0,0,0,0,4,0
Jaylen Warren,6,182,0,0,0,0,0,0,149,784,4,0,61,370,0,0,2,0
Gus Edwards,13,179,0,0,0,0,0,0,198,810,13,1,12,180,0,0,2,0
Trey McBride,14,175,0,0,0,0,0,0,0,0,0,0,81,825,3,0,0,0
Austin Ekeler,5,174,0,0,0,0,0,0,179,628,5,0,51,436,1,0,4,0
Cole Kmet,13,174,0,0,0,0,0,0,3,2,0,0,73,719,6,0,0,0
Josh Jacobs,13,171,0,0,0,0,0,0,233,805,6,0,37,296,0,0,1,0
Joe Burrow,7,170,365,244,"2,309",15,6,0,31,88,0,0,0,0,0,0,1,0
Bryce Young,7,170,527,315,"2,877",11,10,1,39,253,0,1,0,0,0,0,6,0
Jake Ferguson,7,169,0,0,0,0,0,0,0,0,0,0,71,761,5,0,0,0
Javonte Williams,9,169,0,0,0,0,0,0,217,774,3,1,47,228,2,1,1,0
Romeo Doubs,6,168,0,0,0,0,0,0,0,0,0,0,59,674,8,0,0,0
Drake London,11,166,1,1,22,0,0,0,0,0,0,0,69,905,2,1,0,0
Chuba Hubbard,7,165,0,0,0,0,0,0,238,902,5,0,39,233,0,0,0,0
Jake Browning,7,163,243,171,"1,936",12,7,1,27,127,3,0,1,-7,0,0,0,0
Brandin Cooks,7,163,0,0,0,0,0,0,5,35,0,0,54,657,8,1,0,0
Ezekiel Elliott,11,161,0,0,0,0,0,0,184,642,3,0,51,313,2,0,1,0
Kyler Murray,14,160,268,176,"1,799",10,5,1,44,244,3,0,0,0,0,0,0,0
Gabriel Davis,13,159,0,0,0,0,0,0,1,-2,0,0,45,746,7,1,1,0
Nathaniel Dell,7,159,0,0,0,0,0,0,11,51,0,0,47,709,7,0,0,0
Zack Moss,11,159,0,0,0,0,0,0,183,794,5,0,27,192,2,1,0,0
Cooper Kupp,10,158,0,0,0,0,0,0,1,-3,0,0,59,737,5,1,0,0
Devin Singletary,7,158,1,1,6,1,0,0,216,898,4,0,30,193,0,0,0,0
Josh Downs,11,150,0,0,0,0,0,0,0,0,0,0,68,771,2,0,0,0
Curtis Samuel,14,149,0,0,0,0,0,0,7,39,1,0,62,613,4,0,0,0
Diontae Johnson,6,146,0,0,0,0,0,0,0,0,0,0,51,717,5,0,0,0
Dalton Schultz,7,146,0,0,0,0,0,0,0,0,0,0,59,635,5,0,1,0
Jonathan Taylor,11,146,0,0,0,0,0,0,169,741,7,0,19,153,1,0,0,0
Christian Kirk,9,145,2,1,-1,0,0,0,1,6,0,0,57,787,3,0,2,0
Darius Slayton,13,145,0,0,0,0,0,0,0,0,0,0,50,770,4,0,0,0
Dalton Kincaid,13,144,0,0,0,0,0,0,0,0,0,0,73,673,2,0,1,0
Aidan O'Connell,13,144,343,213,"2,218",12,7,0,17,11,1,0,0,0,0,0,2,0
Jaxon Smith-Njigba,5,144,0,0,0,0,0,0,0,0,0,0,63,628,4,0,0,0
Rashid Shaheed,11,142,0,0,0,0,0,0,7,37,0,0,46,719,5,0,1,0
Tyjae Spears,7,137,0,0,0,0,0,0,100,453,2,0,52,385,1,0,0,0
Rhamondre Stevenson,11,137,0,0,0,0,0,0,156,619,4,0,38,238,0,0,1,0
Jerry Jeudy,9,136,0,0,0,0,0,0,0,0,0,0,54,758,2,0,0,0
Tyler Boyd,7,135,1,0,0,0,1,0,2,11,0,0,67,667,2,0,0,0
Tee Higgins,7,133,0,0,0,0,0,0,0,0,0,0,42,656,5,0,0,0
Mark Andrews,13,132,0,0,0,0,0,0,1,0,0,0,45,544,6,0,0,0
Dallas Goedert,10,132,0,0,0,0,0,0,1,1,0,0,59,592,3,0,0,0
Taysom Hill,11,132,11,6,83,1,0,0,81,401,4,0,33,291,2,0,1,0
Zach Wilson,7,132,368,221,"2,271",8,7,1,36,211,0,1,0,0,0,0,7,0
Kyle Pitts,11,130,0,0,0,0,0,0,1,-4,0,0,53,667,3,0,0,0
Marquise Brown,14,128,0,0,0,0,0,0,2,23,0,0,51,574,4,0,0,0
Tyler Allgeier,11,127,0,0,0,0,0,0,186,683,4,0,18,193,1,1,0,0
Aaron Jones,6,127,0,0,0,0,0,0,142,656,2,0,30,233,1,0,1,0
Elijah Moore,5,127,0,0,0,0,0,0,9,11,0,0,59,640,2,0,2,0
Joe Flacco,5,125,204,123,"1,616",13,8,1,9,2,0,0,0,0,0,0,1,0
Alexander Mattison,13,124,0,0,0,0,0,0,180,700,0,0,30,192,3,0,2,0
Josh Reynolds,9,124,0,0,0,0,0,0,0,0,0,0,40,608,5,0,1,0
Wan'Dale Robinson,13,124,0,0,0,0,0,0,9,87,1,0,60,525,1,0,0,0
Logan Thomas,14,123,0,0,0,0,0,0,1,2,0,0,55,496,4,1,2,0
Mac Jones,11,121,345,224,"2,120",10,12,0,26,96,0,0,0,0,0,0,2,0
Jahan Dotson,14,120,0,0,0,0,0,0,0,0,0,0,49,518,4,0,0,0
Jonnu Smith,11,119,1,0,0,0,0,0,1,0,0,0,50,582,3,0,1,0
Tyler Conklin,7,115,0,0,0,0,0,0,1,0,0,0,61,621,0,0,0,0
Will Levis,7,115,255,149,"1,808",8,4,1,25,57,1,0,0,0,0,0,4,0
Dontayvion Wicks,6,115,1,1,14,0,0,0,1,1,0,0,39,581,4,0,1,0
Antonio Gibson,14,114,0,0,0,0,0,0,65,265,1,0,48,389,2,0,2,0
Hunter Henry,11,114,0,0,0,0,0,0,0,0,0,0,42,419,6,0,0,0
Kenny Pickett,6,114,324,201,"2,070",6,4,0,42,54,1,0,0,0,0,0,0,0
K.J. Osborn,13,111,0,0,0,0,0,0,0,0,0,0,48,540,3,0,0,0
Cade Otton,5,111,0,0,0,0,0,0,0,0,0,0,47,455,4,1,1,0
Kareem Hunt,5,110,0,0,0,0,0,0,135,411,9,0,15,84,0,0,0,0
Samaje Perine,9,110,0,0,0,0,0,0,53,238,1,0,50,455,0,0,2,0
Darren Waller,13,109,0,0,0,0,0,0,0,0,0,0,52,552,1,0,0,0
D.J. Chark,7,108,0,0,0,0,0,0,0,0,0,0,35,525,5,0,1,0
AJ Dillon,6,108,0,0,0,0,0,0,178,613,2,0,22,223,0,0,0,0
Michael Wilson,14,108,0,0,0,0,0,0,0,0,0,0,38,565,3,1,0,0
Khalil Shakir,13,107,0,0,0,0,0,0,1,10,0,0,39,611,2,0,0,0
Chatarius Atwell,10,105,0,0,0,0,0,1,5,31,0,0,39,483,3,1,0,0
Tommy DeVito,13,104,178,114,"1,101",8,3,0,36,195,1,0,0,0,0,0,1,0
Gerald Everett,5,104,0,0,0,0,0,0,3,10,0,0,51,411,3,0,0,0
Chigoziem Okonkwo,7,104,0,0,0,0,0,0,2,6,0,0,54,528,1,0,0,0
Josh Palmer,5,103,0,0,0,0,0,0,1,6,0,0,38,581,2,0,1,0
Odell Beckham Jr.,13,102,0,0,0,0,0,0,0,0,0,0,35,565,3,0,1,0
Khalil Herbert,13,102,0,0,0,0,0,0,132,611,2,1,20,134,1,0,1,0
Tyler Higbee,10,102,0,0,0,0,0,0,0,0,0,0,47,495,2,0,0,0
Justice Hill,13,102,0,0,0,0,0,0,84,387,3,0,28,206,1,0,1,0
Demario Douglas,11,101,0,0,0,0,0,0,8,41,0,0,49,561,0,0,1,0
Noah Brown,7,98,0,0,0,0,0,0,1,-1,0,0,33,567,2,0,0,0
Isaiah Likely,13,98,0,0,0,0,0,0,0,0,0,0,30,411,5,0,0,0
Christian Watson,6,98,0,0,0,0,0,0,4,11,0,0,28,422,5,0,0,0
