Rk,Player,Tm,FantPos,Age,G,GS,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,Fmb,FL,TD,2:00 PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year
330,Stone Smartt,LAC,TE,25,16,3,0,0,0,0,0,0,0,,0,21,11,155,14.09,1,0,0,1,,,22,32.5,35.5,27,,58,,2023
331,Dorian Thompson-Robinson,CLE,QB,24,8,3,60,112,440,1,4,14,65,4.64,0,0,0,0,,0,2,0,0,1,,22,22.1,29.1,26.1,,56,,2023
332,C.J. Beathard,JAX,QB,30,7,1,40,53,349,1,0,8,35,4.38,0,0,0,0,,0,1,0,0,,,21,21.5,24.5,21.5,,57,,2023
333,Derius Davis,LAC,WR,23,17,2,0,0,0,0,0,14,101,7.21,0,17,15,66,4.4,0,3,1,1,,,21,35.7,39.7,28.2,,133,,2023
334,Van Jefferson,2TM,WR,27,17,9,0,0,0,0,0,1,4,4,0,43,20,209,10.45,0,0,0,0,,,21,41.3,44.3,31.3,,132,,2023
335,Will Mallory,IND,TE,24,12,2,0,0,0,0,0,0,0,,0,26,18,207,11.5,0,1,0,0,,,21,38.7,41.7,29.7,,59,,2023
336,Jamison Crowder,WAS,WR,30,17,0,0,0,0,0,0,0,0,,0,20,16,159,9.94,1,2,1,1,,,20,35.9,39.9,27.9,,135,,2023
337,P.J. Walker,CLE,QB,28,6,2,54,111,674,1,5,13,30,2.31,0,0,0,0,,0,4,2,0,,,20,20,30,25,,58,,2023
338,Quez Watkins,PHI,WR,25,9,5,0,0,0,0,0,0,0,,0,21,15,142,9.47,1,0,0,1,,,20,35.2,38.2,27.7,,134,,2023
339,Robbie Chosen,MIA,WR,30,9,0,0,0,0,0,0,0,0,,0,6,4,126,31.5,1,0,0,1,,,19,22.6,25.6,20.6,,137,,2023
340,Nick Chubb,CLE,RB,28,2,2,0,0,0,0,0,28,170,6.07,0,4,4,21,5.25,0,0,0,0,,,19,23.1,26.1,21.1,,87,,2023
341,Malik Heath,GNB,WR,23,13,1,0,0,0,0,0,0,0,,0,24,15,125,8.33,1,0,0,1,,,19,33.5,36.5,26,,138,,2023
342,Luke Schoonmaker,DAL,TE,25,17,0,0,0,0,0,0,0,0,,0,15,8,65,8.13,2,0,0,2,,,19,26.5,26.5,22.5,,60,,2023
343,Tyler Scott,CHI,WR,22,17,4,0,0,0,0,0,7,41,5.86,0,32,17,168,9.88,0,1,1,0,,,19,35.9,39.9,27.4,,136,,2023
344,Patrick Taylor,GNB,RB,25,11,0,0,0,0,0,0,32,141,4.41,0,17,11,49,4.45,0,0,0,0,,,19,30,33,24.5,,88,,2023
345,River Cracraft,MIA,WR,29,10,1,0,0,0,0,0,0,0,,0,12,9,121,13.44,1,0,0,1,,,18,27.1,30.1,22.6,,139,,2023
346,Kevin Harris,NWE,RB,23,4,0,0,0,0,0,0,16,65,4.06,1,3,3,58,19.33,0,0,0,1,,,18,21.3,21.3,19.8,,89,,2023
347,Davis Mills,HOU,QB,25,6,0,18,39,173,2,0,2,9,4.5,0,0,0,0,,0,0,0,0,,1,18,17.8,17.8,17.8,,59,,2023
348,Deven Thompkins,TAM,WR,24,17,1,0,0,0,0,0,8,56,7,0,25,17,83,4.88,1,3,1,1,,,18,34.9,35.9,26.4,,140,,2023
349,Melvin Gordon,BAL,RB,30,4,0,0,0,0,0,0,26,81,3.12,1,3,3,46,15.33,0,1,1,1,,,17,19.7,20.7,18.2,,92,,2023
350,Damien Harris,BUF,RB,26,6,0,0,0,0,0,0,23,94,4.09,1,2,2,16,8,0,0,0,1,,,17,19,19,18,,91,,2023
351,Connor Heyward,PIT,TE,24,17,7,0,1,0,0,0,1,0,0,0,34,23,167,7.26,0,0,0,0,,,17,39.7,42.7,28.2,,62,,2023
352,Ray-Ray McCloud,SFO,WR,27,12,1,0,0,0,0,0,3,30,10,0,15,12,135,11.25,0,1,0,0,,,17,28.5,31.5,22.5,,141,,2023
353,MyCole Pruitt,ATL,TE,31,17,8,0,0,0,0,0,0,0,,0,12,9,110,12.22,1,1,0,1,,,17,26,29,21.5,,61,,2023
354,Trey Sermon,IND,RB,24,14,0,0,0,0,0,0,35,160,4.57,0,6,3,13,4.33,0,0,0,0,,,17,20.3,23.3,18.8,,90,,2023
355,Davis Allen,LAR,TE,22,15,1,0,0,0,0,0,0,0,,0,11,10,95,9.5,1,0,0,1,,,16,25.5,25.5,20.5,,63,,2023
356,Luke Farrell,JAX,TE,26,17,8,0,0,0,0,0,0,0,,0,15,13,155,11.92,0,0,0,0,,,16,28.5,31.5,22,,64,,2023
357,Lucas Krull,DEN,TE,25,7,2,0,0,0,0,0,0,0,,0,14,8,95,11.88,1,0,0,1,,,16,23.5,23.5,19.5,,65,,2023
358,John Metchie,HOU,WR,23,16,0,0,0,0,0,0,1,4,4,0,30,16,158,9.88,0,0,0,0,,,16,32.2,35.2,24.2,,142,,2023
359,Donovan Peoples-Jones,2TM,WR,24,15,6,0,0,0,0,0,0,0,,0,25,13,155,11.92,0,1,0,0,,,16,28.5,31.5,22,,144,,2023
360,Kyle Philips,TEN,WR,24,9,0,0,0,0,0,0,0,0,,0,22,15,181,12.07,0,1,1,0,,,16,31.1,35.1,23.6,,143,,2023
361,Irv Smith Jr.,CIN,TE,25,12,6,0,0,0,0,0,0,0,,0,26,18,115,6.39,1,1,1,1,,,16,33.5,37.5,24.5,,66,,2023
362,John Bates,WAS,TE,26,17,4,0,0,0,0,0,0,0,,0,28,19,151,7.95,0,0,0,0,,,15,34.1,37.1,24.6,,68,,2023
363,Jalen Guyton,LAC,WR,26,8,3,0,0,0,0,0,0,0,,0,21,10,89,8.9,1,0,0,1,,,15,24.9,24.9,19.9,,146,,2023
364,Charlie Kolar,BAL,TE,24,15,3,0,0,0,0,0,0,0,,0,9,7,87,12.43,1,0,0,1,,,15,21.7,21.7,18.2,,71,,2023
365,David Moore,TAM,WR,28,7,0,0,0,0,0,0,0,0,,0,7,5,94,18.8,1,0,0,1,,,15,20.4,20.4,17.9,,145,,2023
366,Ronnie Rivers,LAR,RB,24,9,1,0,0,0,0,0,32,129,4.03,0,5,5,22,4.4,0,0,0,0,,,15,20.1,23.1,17.6,,93,,2023
367,Jeremy Ruckert,NYJ,TE,23,15,6,0,0,0,0,0,0,0,,0,22,16,151,9.44,0,0,0,0,,,15,31.1,34.1,23.1,,69,,2023
368,Trent Sherfield,BUF,WR,27,17,1,0,0,0,0,0,0,0,,0,22,11,86,7.82,1,0,0,1,,,15,25.6,25.6,20.1,,147,,2023
369,Josh Whyle,TEN,TE,24,11,3,0,0,0,0,0,0,0,,0,15,9,94,10.44,1,0,0,1,,,15,24.4,24.4,19.9,,67,,2023
370,Brock Wright,DET,TE,25,14,4,0,0,0,0,0,0,0,,0,14,13,91,7,1,0,0,1,,,15,28.1,28.1,21.6,,70,,2023
371,Chase Claypool,2TM,WR,25,12,2,0,0,0,0,0,0,0,,0,21,8,77,9.63,1,0,0,1,,,14,21.7,21.7,17.7,,152,,2023
372,Jeff Driskel,CLE,QB,30,1,1,13,26,166,2,2,7,33,4.71,0,0,0,0,,0,0,0,0,,,14,13.9,15.9,15.9,,60,,2023
373,Xavier Hutchinson,HOU,WR,23,16,0,0,0,0,0,0,5,49,9.8,0,19,8,90,11.25,0,0,0,0,,,14,21.9,21.9,17.9,,150,,2023
374,Charlie Jones,CIN,WR,25,11,0,0,0,0,0,0,2,13,6.5,0,9,7,64,9.14,0,0,0,1,,,14,20.7,20.7,17.2,,153,,2023
375,Terrace Marshall Jr.,CAR,WR,23,9,4,0,0,0,0,0,0,0,,0,33,19,139,7.32,0,1,0,0,,,14,32.9,35.9,23.4,,151,,2023
376,Byron Pringle,WAS,WR,30,17,1,0,0,0,0,0,0,0,,0,22,14,161,11.5,0,1,1,0,,,14,28.1,32.1,21.1,,149,,2023
377,Ben Skowronek,LAR,WR,26,17,0,0,0,0,0,0,2,9,4.5,0,12,8,66,8.25,1,0,0,1,,,14,21.5,21.5,17.5,,154,,2023
378,Tyquan Thornton,NWE,WR,23,9,3,0,0,0,0,0,3,51,17,0,23,13,91,7,0,0,0,0,,,14,27.2,27.2,20.7,,148,,2023
379,Jordan Akins,CLE,TE,31,17,4,0,0,0,0,0,0,0,,0,23,15,132,8.8,0,0,0,0,,,13,28.2,31.2,20.7,,72,,2023
380,Isaiah Spiller,LAC,RB,22,9,0,0,0,0,0,0,37,96,2.59,0,6,6,34,5.67,0,0,0,0,,,13,19,19,16,,94,,2023
381,Stephen Sullivan,CAR,TE,27,11,0,0,0,0,0,0,0,0,,0,24,12,125,10.42,0,0,0,0,,,13,24.5,27.5,18.5,,73,,2023
382,Lynn Bowden Jr.,NOR,WR,26,15,3,0,0,0,0,0,5,32,6.4,0,16,11,83,7.55,0,1,0,0,,,12,22.5,22.5,17,,158,,2023
383,Jason Brownlee,NYJ,WR,24,7,5,0,0,0,0,0,0,0,,0,8,5,56,11.2,1,0,0,1,,,12,16.6,16.6,14.1,,156,,2023
384,Randall Cobb,NYJ,WR,33,11,1,0,0,0,0,0,0,0,,0,17,5,39,7.8,1,0,0,1,1,,12,16.9,16.9,14.4,,155,,2023
385,Tyler Goodson,IND,RB,23,6,1,0,0,0,0,0,13,87,6.69,0,9,6,34,5.67,0,0,0,0,,,12,18.1,18.1,15.1,,95,,2023
386,Alec Ingold*,MIA,FB,27,17,13,0,0,0,0,0,2,0,0,0,16,13,119,9.15,0,0,0,0,,,12,24.9,27.9,18.4,,96,,2023
387,Marcus Mariota,PHI,QB,30,3,0,15,23,164,1,1,8,52,6.5,0,0,0,0,,0,1,1,0,,,12,11.8,13.8,12.8,,62,,2023
388,D.J. Montgomery,IND,WR,27,7,0,0,0,0,0,0,0,0,,0,8,3,56,18.67,1,0,0,1,,,12,14.6,14.6,13.1,,157,,2023
389,Boston Scott,PHI,RB,28,15,0,0,0,0,0,0,20,86,4.3,0,6,4,52,13,0,1,1,0,,,12,15.8,16.8,13.8,,97,,2023
390,Laviska Shenault Jr.,CAR,WR,25,8,0,0,0,0,0,0,12,55,4.58,0,10,10,60,6,0,1,0,0,,,12,21.5,21.5,16.5,,159,,2023
391,Cole Turner,WAS,TE,23,12,1,0,0,0,0,0,0,0,,0,15,11,120,10.91,0,0,0,0,,,12,23,26,17.5,,74,,2023
392,C.J. Uzomah,NYJ,TE,30,12,8,0,0,0,0,0,0,0,,0,12,8,58,7.25,1,0,0,1,,,12,19.8,19.8,15.8,,75,,2023
393,Jameis Winston,NOR,QB,29,7,0,25,47,264,2,3,5,-6,-1.2,0,0,0,0,,0,0,0,0,,,12,12,15,15,,61,,2023
394,Raheem Blackshear,CAR,RB,24,12,0,0,0,0,0,0,14,46,3.29,0,7,6,45,7.5,0,0,0,0,1,,11,17.1,17.1,14.1,,99,,2023
395,Brandon Bolden,LVR,RB,33,17,0,0,0,0,0,0,4,31,7.75,1,0,0,0,,0,0,0,1,1,,11,11.1,11.1,11.1,,100,,2023
396,Tim Boyle,NYJ,QB,29,3,2,48,77,360,1,4,4,5,1.25,0,0,0,0,,0,2,0,0,,,11,10.9,17.9,14.9,,63,,2023
397,Chris Brooks,MIA,RB,23,9,0,0,0,0,0,0,19,106,5.58,0,0,0,0,,0,0,0,0,,,11,10.6,13.6,10.6,,103,,2023
398,Mecole Hardman,2TM,WR,25,11,2,0,0,0,0,0,1,3,3,0,24,15,124,8.27,0,1,1,0,,,11,25.7,29.7,18.2,,160,,2023
399,La'Mical Perine,KAN,RB,25,3,1,0,0,0,0,0,22,77,3.5,0,5,3,33,11,0,0,0,0,,,11,14,14,12.5,,101,,2023
400,Patrick Ricard,BAL,FB,29,17,9,0,0,0,0,0,0,0,,0,7,5,52,10.4,1,0,0,1,,,11,16.2,16.2,13.7,,98,,2023
401,Robert Tonyan,CHI,TE,29,17,6,0,0,0,0,0,0,0,,0,17,11,112,10.18,0,0,0,0,,,11,22.2,25.2,16.7,,76,,2023
402,Emanuel Wilson,GNB,RB,24,7,0,0,0,0,0,0,14,85,6.07,0,5,4,23,5.75,0,1,0,0,,,11,14.8,14.8,12.8,,102,,2023
403,Lawrence Cager,NYG,TE,26,11,0,0,0,0,0,0,0,0,,0,5,4,36,9,1,0,0,1,,,10,13.6,13.6,11.6,,77,,2023
404,Parris Campbell,NYG,WR,26,12,3,0,0,0,0,0,0,0,,0,27,20,104,5.2,0,0,0,0,,,10,30.4,33.4,20.4,,161,,2023
405,J.K. Dobbins,BAL,RB,25,1,1,0,0,0,0,0,8,22,2.75,1,3,2,15,7.5,0,0,0,1,,,10,11.7,11.7,10.7,,105,,2023
406,Marquise Goodwin,CLE,WR,33,12,0,0,0,0,0,0,4,33,8.25,0,13,4,67,16.75,0,0,0,0,,,10,14,14,12,,163,,2023
407,Keaontay Ingram,ARI,RB,24,8,1,0,0,0,0,0,35,74,2.11,0,4,4,26,6.5,0,0,0,0,,,10,14,14,12,,104,,2023
408,Case Keenum,HOU,QB,35,2,2,34,53,291,1,3,2,1,0.5,0,0,0,0,,0,1,0,0,,,10,9.7,12.7,12.7,,64,,2023
409,Keith Kirkwood,NOR,WR,29,13,4,0,0,0,0,0,0,0,,0,9,5,37,7.4,1,0,0,1,,,10,14.7,14.7,12.2,,164,,2023
410,Hunter Luepke,DAL,RB,23,17,0,0,0,0,0,0,6,19,3.17,1,4,3,18,6,0,0,0,1,,,10,12.7,12.7,11.2,,106,,2023
411,Sterling Shepard,NYG,WR,30,15,2,0,0,0,0,0,1,6,6,0,22,10,57,5.7,1,1,1,1,,,10,20.3,21.3,15.3,,162,,2023
412,Brenton Strange,JAX,TE,23,14,4,0,0,0,0,0,0,0,,0,9,5,35,7,1,0,0,1,,,10,14.5,14.5,12,,78,,2023
413,Israel Abanikanda,NYJ,RB,21,6,0,0,0,0,0,0,22,70,3.18,0,11,7,43,6.14,0,1,1,0,,,9,16.3,17.3,12.8,,107,,2023
414,Nick Bawden,NYJ,FB,27,16,2,0,0,0,0,0,2,4,2,1,3,3,21,7,0,0,0,1,,,9,11.5,11.5,10,,108,,2023
415,Richie James,KAN,WR,28,9,1,0,0,0,0,0,0,0,,0,14,10,114,11.4,0,2,1,0,,,9,19.4,23.4,14.4,,165,,2023
416,Marcedes Lewis,CHI,TE,39,17,4,0,0,0,0,0,0,0,,0,5,4,29,7.25,1,0,0,1,,,9,12.9,12.9,10.9,,80,,2023
417,Quintin Morris,BUF,TE,24,15,0,0,0,0,0,0,0,0,,0,3,2,26,13,1,0,0,1,,,9,10.6,10.6,9.6,,81,,2023
418,Geoff Swaim,ARI,TE,30,14,8,0,0,0,0,0,0,0,,0,11,10,94,9.4,0,0,0,0,,,9,19.4,19.4,14.4,,79,,2023
419,Brycen Hopkins,LAR,TE,26,15,0,0,0,0,0,0,0,0,,0,7,5,78,15.6,0,0,0,0,,,8,12.8,12.8,10.3,,83,,2023
420,Tim Jones,JAX,WR,25,17,2,0,0,0,0,0,0,0,,0,18,11,83,7.55,0,0,0,0,,,8,19.3,19.3,13.8,,166,,2023
421,Dare Ogunbowale,HOU,RB,29,12,0,0,0,0,0,0,8,35,4.38,0,7,2,18,9,0,0,0,0,,,8,10.3,10.3,9.3,,109,,2023
422,Ben Sims,GNB,TE,23,17,1,0,0,0,0,0,0,0,,0,6,4,21,5.25,1,0,0,1,,,8,12.1,12.1,10.1,,82,,2023
423,Samori Toure,GNB,WR,25,11,0,0,0,0,0,0,0,0,,0,18,8,78,9.75,0,1,1,0,1,,8,15.8,16.8,11.8,,167,,2023
424,Deuce Vaughn,DAL,RB,22,7,0,0,0,0,0,0,23,40,1.74,0,7,7,40,5.71,0,0,0,0,,,8,15,15,11.5,,110,,2023
425,Trayveon Williams,CIN,RB,26,17,0,0,0,0,0,0,15,69,4.6,0,9,7,10,1.43,0,0,0,0,,,8,14.9,14.9,11.4,,111,,2023
426,Blake Bell,KAN,TE,32,17,3,0,0,0,0,0,0,0,,0,9,5,26,5.2,1,1,1,1,,,7,11.6,12.6,9.1,,84,,2023
427,Gary Brightwell,NYG,RB,24,7,0,0,0,0,0,0,9,19,2.11,0,7,5,47,9.4,0,0,0,0,,,7,11.6,11.6,9.1,,113,,2023
428,Chris Conley,SFO,WR,31,8,0,0,0,0,0,0,0,0,,0,6,3,69,23,0,0,0,0,,,7,9.9,9.9,8.4,,170,,2023
429,Josiah Deguara,GNB,TE,26,15,4,0,0,0,0,0,0,0,,0,8,8,65,8.13,0,0,0,0,,,7,14.5,14.5,10.5,,85,,2023
430,Simi Fehoko,LAC,WR,26,6,0,0,0,0,0,0,0,0,,0,2,1,9,9,1,0,0,1,,,7,7.9,7.9,7.4,,171,,2023
431,Eric Gray,NYG,RB,24,13,0,0,0,0,0,0,17,48,2.82,0,7,6,22,3.67,0,3,0,0,,,7,13,13,10,,112,,2023
432,Tyler Johnson,LAR,WR,25,1,0,0,0,0,0,0,0,0,,0,3,2,8,4,1,0,0,1,,,7,8.8,8.8,7.8,,172,,2023
433,Velus Jones Jr.,CHI,WR,26,14,0,0,0,0,0,0,8,51,6.38,0,7,4,20,5,0,0,0,0,,,7,11.1,11.1,9.1,,168,,2023
434,Clayton Tune,ARI,QB,24,7,1,12,21,62,0,2,8,30,3.75,1,0,0,0,,0,2,1,1,1,,7,7.5,10.5,9.5,,65,,2023
435,Tylan Wallace,BAL,WR,24,11,0,0,0,0,0,0,0,0,,0,2,1,11,11,0,0,0,1,,,7,8.1,8.1,7.6,,169,,2023
436,Jalen Brooks,DAL,WR,23,7,0,0,0,0,0,0,0,0,,0,6,6,64,10.67,0,0,0,0,,,6,12.4,12.4,9.4,,173,,2023
437,DeAndre Carter,LVR,WR,30,17,1,0,0,0,0,0,3,18,6,0,7,4,39,9.75,0,2,0,0,,,6,9.7,9.7,7.7,,176,,2023
438,Payne Durham,TAM,TE,23,13,2,0,0,0,0,0,0,0,,0,7,5,58,11.6,0,0,0,0,,,6,10.8,10.8,8.3,,88,,2023
439,Blaine Gabbert,KAN,QB,34,2,1,18,35,185,0,3,7,45,6.43,0,0,0,0,,0,0,0,0,,,6,5.9,8.9,8.9,,66,,2023
440,Rakim Jarrett,TAM,WR,22,10,0,0,0,0,0,0,1,0,0,0,9,4,60,15,0,0,0,0,,,6,10,10,8,,175,,2023
441,Ko Kieft,TAM,TE,25,16,6,0,0,0,0,0,0,0,,0,5,1,2,2,1,0,0,1,,,6,7.2,7.2,6.7,,86,,2023
442,Isaiah McKenzie,IND,WR,28,13,2,0,0,0,0,0,3,14,4.67,0,14,11,82,7.45,0,3,2,0,,,6,16.6,18.6,11.1,,177,,2023
443,Equanimeous St. Brown,CHI,WR,27,7,2,0,0,0,0,0,0,0,,0,6,5,62,12.4,0,0,0,0,,,6,11.2,11.2,8.7,,174,,2023
444,Ian Thomas,CAR,TE,27,12,5,0,0,0,0,0,0,0,,0,9,5,56,11.2,0,0,0,0,,,6,10.6,10.6,8.1,,89,,2023
445,Darnell Washington,PIT,TE,22,17,7,0,0,0,0,0,0,0,,0,10,7,61,8.71,0,0,0,0,,,6,13.1,13.1,9.6,,87,,2023
446,Mitchell Wilcox,CIN,TE,27,17,4,0,0,0,0,0,0,0,,0,12,9,56,6.22,0,0,0,0,,,6,14.6,14.6,10.1,,90,,2023
447,Damien Williams,ARI,RB,31,3,0,0,0,0,0,0,11,43,3.91,0,2,2,12,6,0,0,0,0,,,6,7.5,7.5,6.5,,114,,2023
448,Brian Hoyer,LVR,QB,38,3,1,23,42,231,0,2,3,-3,-1,0,0,0,0,,0,0,0,0,,,5,4.9,6.9,6.9,,67,,2023
449,Ty Montgomery,NWE,WR,30,13,0,0,0,0,0,0,3,9,3,0,12,5,40,8,0,0,0,0,,,5,9.9,9.9,7.4,,179,,2023
450,Justyn Ross,KAN,WR,24,10,1,0,0,0,0,0,0,0,,0,11,6,53,8.83,0,0,0,0,,,5,11.3,11.3,8.3,,178,,2023
451,Brett Rypien,LAR,QB,27,2,1,18,38,172,0,1,3,19,6.33,0,0,0,0,,0,2,1,0,,,5,4.8,6.8,5.8,,68,,2023
452,Mike Strachan,CAR,WR,26,4,1,0,0,0,0,0,0,0,,0,3,1,45,45,0,0,0,0,,,5,5.5,5.5,5,,180,,2023
453,Michael Burton,DEN,FB,31,17,3,0,0,0,0,0,7,9,1.29,0,3,3,8,2.67,0,0,0,0,1,,4,6.7,6.7,5.2,,118,,2023
454,Grant Calcaterra,PHI,TE,25,15,1,0,0,0,0,0,0,0,,0,4,4,39,9.75,0,0,0,0,,,4,7.9,7.9,5.9,,91,,2023
455,Elijah Cooks,JAX,WR,25,9,0,0,0,0,0,0,0,0,,0,4,3,38,12.67,0,0,0,0,,,4,6.8,6.8,5.3,,182,,2023
456,Britain Covey,PHI,WR,26,16,0,0,0,0,0,0,0,0,,0,6,4,42,10.5,0,2,0,0,,,4,8.2,8.2,6.2,,181,,2023
457,Leonard Fournette,BUF,RB,28,2,0,0,0,0,0,0,12,40,3.33,0,0,0,0,,0,0,0,0,,,4,4,4,4,,116,,2023
458,Peyton Hendershot,DAL,TE,24,8,1,0,0,0,0,0,1,0,0,0,7,4,38,9.5,0,0,0,0,,,4,7.8,7.8,5.8,,92,,2023
459,Rashaad Penny,PHI,RB,27,3,0,0,0,0,0,0,11,33,3,0,1,1,5,5,0,0,0,0,,,4,4.8,4.8,4.3,,117,,2023
460,Jack Stoll,PHI,TE,25,17,10,0,0,0,0,0,0,0,,0,8,5,38,7.6,0,0,0,0,,,4,8.8,8.8,6.3,,93,,2023
461,Ke'Shawn Vaughn,TAM,RB,26,6,0,0,0,0,0,0,24,42,1.75,0,5,2,2,1,0,0,0,0,,,4,6.4,6.4,5.4,,115,,2023
462,Khari Blasingame,CHI,FB,27,16,2,0,0,0,0,0,8,26,3.25,0,6,3,2,0.67,0,0,0,0,,,3,5.8,5.8,4.3,,122,,2023
463,Keelan Doss,LAC,WR,27,5,0,0,0,0,0,0,0,0,,0,13,6,33,5.5,0,0,0,0,,,3,9.3,9.3,6.3,,183,,2023
464,Greg Dulcich,DEN,TE,23,2,1,0,0,0,0,0,0,0,,0,4,3,25,8.33,0,0,0,0,,,3,5.5,5.5,4,,99,,2023
465,Devin Duvernay,BAL,WR,26,13,1,0,0,0,0,0,4,15,3.75,0,9,4,18,4.5,0,0,0,0,,,3,7.3,7.3,5.3,,184,,2023
466,Derrick Gore,WAS,RB,29,6,0,0,0,0,0,0,3,26,8.67,0,0,0,0,,0,0,0,0,,,3,2.6,2.6,2.6,,123,,2023
467,C.J. Ham*,MIN,FB,30,17,5,0,0,0,0,0,1,7,7,0,9,7,25,3.57,0,0,0,0,,,3,10.2,10.2,6.7,,120,,2023
468,Julian Hill,MIA,TE,23,15,4,0,0,0,0,0,0,0,,0,9,6,48,8,0,1,1,0,,,3,8.8,9.8,5.8,,96,,2023
469,Trishton Jackson,MIN,WR,25,7,0,0,0,0,0,0,0,0,,0,4,2,9,4.5,0,0,0,0,1,,3,4.9,4.9,3.9,,185,,2023
470,James Mitchell,DET,TE,24,15,1,0,0,0,0,0,0,0,,0,2,2,28,14,0,0,0,0,,,3,4.8,4.8,3.8,,97,,2023
471,Jalen Nailor,MIN,WR,24,6,1,0,0,0,0,0,0,0,,0,6,3,29,9.67,0,0,0,0,,,3,5.9,5.9,4.4,,186,,2023
472,Teagan Quitoriano,HOU,TE,23,7,5,0,0,0,0,0,0,0,,0,3,2,33,16.5,0,0,0,0,,,3,5.3,5.3,4.3,,94,,2023
473,Cooper Rush,DAL,QB,30,7,0,18,24,144,0,1,12,-5,-0.42,0,0,0,0,,0,0,0,0,,,3,3.3,4.3,4.3,,69,,2023
474,Steven Sims,HOU,WR,26,3,0,0,0,0,0,0,1,1,1,0,3,3,25,8.33,0,0,0,0,,,3,5.6,5.6,4.1,,187,,2023
475,Keith Smith,ATL,FB,31,13,6,0,0,0,0,0,0,0,,0,3,3,33,11,0,0,0,0,,,3,6.3,6.3,4.8,,119,,2023
476,Sean Tucker,TAM,RB,22,11,0,0,0,0,0,0,15,23,1.53,0,2,2,9,4.5,0,0,0,0,,,3,5.2,5.2,4.2,,121,,2023
477,Malik Willis,TEN,QB,24,3,0,4,5,74,0,0,5,21,4.2,0,0,0,0,,0,1,1,0,,,3,3.1,4.1,3.1,,70,,2023
478,Charlie Woerner,SFO,TE,26,17,2,0,0,0,0,0,0,0,,0,3,3,32,10.67,0,0,0,0,,,3,6.2,6.2,4.7,,95,,2023
479,Kenny Yeboah,NYJ,TE,25,5,1,0,0,0,0,0,0,0,,0,4,2,28,14,0,0,0,0,,,3,4.8,4.8,3.8,,98,,2023
480,Nate Adkins,DEN,TE,24,10,1,0,0,0,0,0,0,0,,0,5,4,22,5.5,0,0,0,0,,,2,6.2,6.2,4.2,,100,,2023
481,Kayshon Boutte,NWE,WR,21,5,0,0,0,0,0,0,0,0,,0,7,2,19,9.5,0,0,0,0,,,2,3.9,3.9,2.9,,190,,2023
482,Miles Boykin,PIT,WR,27,17,0,0,0,0,0,0,0,0,,0,4,3,17,5.67,0,0,0,0,,,2,4.7,4.7,3.2,,192,,2023
483,DeeJay Dallas,SEA,RB,25,17,0,0,0,0,0,0,10,36,3.6,0,9,6,26,4.33,0,2,2,0,,,2,8.2,10.2,5.2,,124,,2023
484,Tyrion Davis-Price,SFO,RB,23,1,0,0,0,0,0,0,6,21,3.5,0,0,0,0,,0,0,0,0,,,2,2.1,2.1,2.1,,126,,2023
485,Elijah Dotson,LAC,RB,24,4,0,0,0,0,0,0,4,6,1.5,0,2,2,13,6.5,0,0,0,0,,,2,3.9,3.9,2.9,,128,,2023
486,Zach Evans,LAR,RB,22,10,0,0,0,0,0,0,9,19,2.11,0,0,0,0,,0,0,0,0,,,2,1.9,1.9,1.9,,129,,2023
487,Erik Ezukanma,MIA,WR,23,2,0,0,0,0,0,0,5,22,4.4,0,1,0,0,,0,0,0,0,,,2,2.2,2.2,2.2,,188,,2023
488,Jake Funk,IND,RB,25,4,0,0,0,0,0,0,2,10,5,0,1,1,12,12,0,0,0,0,,,2,3.2,3.2,2.7,,125,,2023
489,Jaren Hall,MIN,QB,25,3,2,13,20,168,0,1,6,14,2.33,0,0,0,0,,0,2,2,0,,,2,2.1,5.1,3.1,,71,,2023
490,Marvin Jones,DET,WR,33,6,4,0,0,0,0,0,0,0,,0,10,5,35,7,0,1,1,0,,,2,6.5,7.5,4,,194,,2023
491,Zonovan Knight,DET,RB,22,2,0,0,0,0,0,0,3,13,4.33,0,1,1,8,8,0,0,0,0,,,2,3.1,3.1,2.6,,127,,2023
492,Chris Manhertz,DEN,TE,31,16,4,0,0,0,0,0,0,0,,0,4,2,16,8,0,0,0,0,,,2,3.6,3.6,2.6,,103,,2023
493,Nick Muse,MIN,TE,25,2,0,0,0,0,0,0,0,0,,0,1,1,22,22,0,0,0,0,,,2,3.2,3.2,2.7,,101,,2023
494,Gunner Olszewski,2TM,WR,27,12,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,4,2,1,,,2,3,5,2.5,,189,,2023
495,Zach Pascal,ARI,WR,29,14,1,0,0,0,0,0,0,0,,0,15,4,19,4.75,0,0,0,0,,,2,5.9,5.9,3.9,,191,,2023
496,Laquon Treadwell,BAL,WR,28,5,1,0,0,0,0,0,0,0,,0,3,1,16,16,0,0,0,0,,,2,2.6,2.6,2.1,,193,,2023
497,Trevon Wesco,TEN,TE,28,15,10,0,0,0,0,0,0,0,,0,3,1,21,21,0,0,0,0,,,2,3.1,3.1,2.6,,102,,2023
498,Mike White,MIA,QB,28,6,0,5,6,74,1,1,8,-9,-1.13,0,0,0,0,,0,1,1,0,,,2,2.1,4.1,3.1,,72,,2023
